prediction,time_et,location,thrill_score,comeback,excitement,road_rk,road_team,home_rk,home_team,win_rk,win_team,win_score,loss_rk,loss_team,loss_score,poss,mvp,event,date
Arizona 80-79 (52%),11:00 pm ESPN,"Los Angeles, CAGalen Center",78.01,NA,NA,12,Arizona,34,USC,12,Arizona,34,NA,NA,NA,NA,NA,NA,2023-03-02
Purdue 65-61 (66%),9:00 pm Fox Sports 1,"Madison, WIKohl Center",67.22,NA,NA,6,Purdue,67,Wisconsin,6,Purdue,67,NA,NA,NA,NA,NA,NA,2023-03-02
Illinois 75-71 (64%),7:00 pm ESPN,"Champaign, ILState Farm Center",64.63,NA,NA,42,Michigan,36,Illinois,42,Michigan,36,NA,NA,NA,NA,NA,NA,2023-03-02
Washington St. 68-67 (53%),11:00 pm ESPNU,"Seattle, WAAlaska Airlines Arena",56.64,NA,NA,57,Washington State,100,Washington,57,Washington St.,100,NA,NA,NA,NA,NA,NA,2023-03-02
UCF 67-66 (55%),7:00 pm ESPNU,"Philadelphia, PAThe Liacouras Center",54.15,NA,NA,64,UCF,114,Temple,64,UCF,114,NA,NA,NA,NA,NA,NA,2023-03-02
UC Riverside 74-73 (52%),10:00 pm,"Riverside, CASRC Arena",48.36,NA,NA,99,UC Irvine,134,UC Riverside,99,UC Irvine,134,NA,NA,NA,NA,NA,NA,2023-03-02
UC Davis 73-71 (55%),9:00 pm,"Davis, CAThe Pavilion",45.37,NA,NA,113,UC Santa Barbara,139,UC Davis,113,UC Santa Barbara,139,NA,NA,NA,NA,NA,NA,2023-03-02
Stanford 68-65 (60%),9:00 pm Pac-12 Networks,"Corvallis, ORGill Coliseum",42.48,NA,NA,92,Stanford,198,Oregon State,92,Stanford,198,NA,NA,NA,NA,NA,NA,2023-03-02
Memphis 81-72 (78%),9:00 pm ESPN2,"Dallas, TXMoody Coliseum",42.39,NA,NA,40,Memphis,174,SMU,40,Memphis,174,NA,NA,NA,NA,NA,NA,2023-03-02
UCLA 73-60 (88%),9:00 pm ESPN,"Los Angeles, CAPauley Pavilion",41.71,NA,NA,63,Arizona State,2,UCLA,63,Arizona St.,2,NA,NA,NA,NA,NA,NA,2023-03-02
Pepperdine 82-81 (53%),11:30 pm,"Paradise, NVOrleans Arena",41.211,NA,NA,171,Pepperdine,194,Pacific,171,Pepperdine vs.,194,NA,NA,NA,NA,NA,NA,2023-03-02
Florida Atlantic 82-73 (80%),8:00 pm ESPN Plus,"Houston, TXTudor Fieldhouse",40.212,NA,NA,32,Florida Atlantic,189,Rice,32,Florida Atlantic,189,NA,NA,NA,NA,NA,NA,2023-03-02
Portland 84-82 (59%),9:00 pm,"Paradise, NVOrleans Arena",39.613,NA,NA,214,San Diego,163,Portland,214,San Diego vs.,163,NA,NA,NA,NA,NA,NA,2023-03-02
South Alabama 67-63 (65%),12:30 pm ESPN Plus,"Pensacola, FLPensacola Bay Center",39.514,NA,NA,179,Appalachian State,102,South Alabama,179,Appalachian St. vs.,102,NA,NA,NA,NA,NA,NA,2023-03-02
Kennesaw St. 75-71 (66%),7:00 pm ESPN Plus,"Kennesaw, GAKSU Convocation Center",38.915,NA,NA,156,Lipscomb,133,Kennesaw State,156,Lipscomb,133,NA,NA,NA,NA,NA,NA,2023-03-02
Wright St. 80-79 (50%),8:00 pm ESPN Plus,"Milwaukee, WIKlotsche Center",37.816,NA,NA,181,Wright State,229,Milwaukee,181,Wright St.,229,NA,NA,NA,NA,NA,NA,2023-03-02
North Texas 66-58 (77%),8:00 pm CBS Sports Network,"Denton, TXThe Super Pit",37.617,NA,NA,117,Middle Tennessee,54,North Texas,117,Middle Tennessee,54,NA,NA,NA,NA,NA,NA,2023-03-02
UTEP 69-67 (58%),9:00 pm ESPN Plus,"El Paso, TXDon Haskins Center",36.618,NA,NA,172,Western Kentucky,195,UTEP,172,Western Kentucky,195,NA,NA,NA,NA,NA,NA,2023-03-02
Norfolk St. 75-74 (52%),9:00 pm ESPNU,"Washington, DCBurr Arena",36.619,NA,NA,178,Norfolk State,243,Howard,178,Norfolk St.,243,NA,NA,NA,NA,NA,NA,2023-03-02
Old Dominion 68-65 (62%),6:00 pm ESPN Plus,"Pensacola, FLPensacola Bay Center",35.52,NA,NA,219,Texas State,152,Old Dominion,219,Texas St. vs.,152,NA,NA,NA,NA,NA,NA,2023-03-02
Quinnipiac 69-67 (57%),7:30 pm,"Fairfield, CTTotal Mortgage Arena",34.221,NA,NA,170,Quinnipiac,259,Fairfield,170,Quinnipiac,259,NA,NA,NA,NA,NA,NA,2023-03-02
SIU Edwardsville 77-75 (57%),10:00 pm ESPN Plus,"Evansville, INFord Center",32.922,NA,NA,238,SIU Edwardsville,269,UT Martin,238,SIU Edwardsville vs.,269,NA,NA,NA,NA,NA,NA,2023-03-02
Southeast Missouri St. 80-79 (55%),7:30 pm ESPN Plus,"Evansville, INFord Center",32.623,NA,NA,264,Southeast Missouri State,286,Tennessee State,264,Southeast Missouri St. vs.,286,NA,NA,NA,NA,NA,NA,2023-03-02
Youngstown St. 86-78 (76%),8:00 pm ESPN Plus,"Youngstown, OHBeeghly Center",32.624,NA,NA,201,Detroit Mercy,119,Youngstown State,201,Detroit Mercy,119,NA,NA,NA,NA,NA,NA,2023-03-02
Murray St. 74-72 (58%),7:00 pm ESPN Plus,"St. Louis, MOEnterprise Center",32.025,NA,NA,274,Valparaiso,230,Murray State,274,Valparaiso vs.,230,NA,NA,NA,NA,NA,NA,2023-03-02
Northern Iowa 71-68 (61%),1:00 pm ESPN Plus,"St. Louis, MOEnterprise Center",31.226,NA,NA,272,Illinois State,220,Northern Iowa,272,Illinois St. vs.,220,NA,NA,NA,NA,NA,NA,2023-03-02
Rutgers 67-57 (83%),7:00 pm Fox Sports 1,"Minneapolis, MNWilliams Arena",31.127,NA,NA,31,Rutgers,224,Minnesota,31,Rutgers,224,NA,NA,NA,NA,NA,NA,2023-03-02
Louisiana Tech 77-70 (73%),7:00 pm ESPN Plus,"Ruston, LAThomas Assembly Center",29.828,NA,NA,223,Florida International,166,Louisiana Tech,223,FIU,166,NA,NA,NA,NA,NA,NA,2023-03-02
Rider 67-63 (61%),7:00 pm,"Jersey City, NJYanitelli Center",29.229,NA,NA,210,Rider,318,Saint Peter's,210,Rider,318,NA,NA,NA,NA,NA,NA,2023-03-02
Arkansas Pine Bluff 74-72 (58%),9:00 pm,"Pine Bluff, ARClemmons Arena",29.23,NA,NA,305,Jackson St.,320,Arkansas-Pine Bluff,305,Jackson St.,320,NA,NA,NA,NA,NA,NA,2023-03-02
Georgia Southern 69-64 (66%),8:30 pm ESPN Plus,"Pensacola, FLPensacola Bay Center",29.131,NA,NA,280,Louisiana Monroe,203,Georgia Southern,280,Louisiana Monroe vs.,203,NA,NA,NA,NA,NA,NA,2023-03-02
Charlotte 71-64 (74%),8:00 pm ESPN Plus,"San Antonio, TXUTSA Convocation Center",28.332,NA,NA,112,Charlotte,302,UTSA,112,Charlotte,302,NA,NA,NA,NA,NA,NA,2023-03-02
Cleveland St. 70-64 (71%),8:00 pm ESPN Plus,"Cleveland, OHWolstein Center",28.033,NA,NA,236,Robert Morris,188,Cleveland State,236,Robert Morris,188,NA,NA,NA,NA,NA,NA,2023-03-02
Lehigh 66-62 (62%),7:00 pm ESPN Plus,"Bethlehem, PAStabler Arena",27.834,NA,NA,282,Lafayette,281,Lehigh,282,Lafayette,281,NA,NA,NA,NA,NA,NA,2023-03-02
Army 73-68 (67%),6:00 pm ESPN Plus,"West Point, NYChristl Arena",27.735,NA,NA,278,Boston University,250,Army,278,Boston University,250,NA,NA,NA,NA,NA,NA,2023-03-02
Missouri St. 70-63 (74%),9:30 pm ESPN Plus,"St. Louis, MOEnterprise Center",25.936,NA,NA,291,UIC,160,Missouri State,291,Illinois Chicago vs.,160,NA,NA,NA,NA,NA,NA,2023-03-02
Houston 75-56 (95%),7:00 pm ESPN2,"Houston, TXFertitta Center",25.137,NA,NA,110,Wichita State,1,Houston,110,Wichita St.,1,NA,NA,NA,NA,NA,NA,2023-03-02
Alcorn St. 73-68 (69%),8:30 pm,"Itta Bena, MSHarrison Complex",25.138,NA,NA,247,Alcorn State,353,Mississippi Valley State,247,Alcorn St.,353,NA,NA,NA,NA,NA,NA,2023-03-02
North Carolina Central 79-72 (74%),7:30 pm,"Orangeburg, SCSmith Hammond Middleton Center",25.139,NA,NA,193,North Carolina Central,336,South Carolina State,193,North Carolina Central,336,NA,NA,NA,NA,NA,NA,2023-03-02
Hawaii 66-59 (75%),10:00 pm,"Northridge, CAMatadome",24.84,NA,NA,125,Hawai'i,319,CSU Northridge,125,Hawaii,319,NA,NA,NA,NA,NA,NA,2023-03-02
Troy 71-63 (79%),3:00 pm ESPN Plus,"Pensacola, FLPensacola Bay Center",24.241,NA,NA,290,Arkansas State,129,Troy,290,Arkansas St. vs.,129,NA,NA,NA,NA,NA,NA,2023-03-02
